Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2142","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2494","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2488","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2307","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2284","F","FAO estimate",""
"FS","Suite of Food Security Indicators","7","Angola","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2098","F","FAO estimate",""
"FS","Suite of Food Security Indicators","7","Angola","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2109","F","FAO estimate",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2447","F","FAO estimate",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2449","F","FAO estimate",""
"FS","Suite of Food Security Indicators","9","Argentina","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2409","F","FAO estimate",""
"FS","Suite of Food Security Indicators","9","Argentina","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2412","F","FAO estimate",""
"FS","Suite of Food Security Indicators","1","Armenia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2440","F","FAO estimate",""
"FS","Suite of Food Security Indicators","1","Armenia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2430","F","FAO estimate",""
"FS","Suite of Food Security Indicators","10","Australia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2492","F","FAO estimate",""
"FS","Suite of Food Security Indicators","10","Australia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2483","F","FAO estimate",""
"FS","Suite of Food Security Indicators","11","Austria","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2543","F","FAO estimate",""
